latitude,longitude
17.39720315,78.49021733
17.39715454,78.49020392
17.39709826,78.49019051
17.39704710,78.49017441
17.39699594,78.49016368
17.39694989,78.49014223
17.39686803,78.49013150
17.39678617,78.49011272
