x_cm,y_cm
1443.1973440339789,6944.592751353048
2072.49467454385,6870.9466993343085
2645.698814233765,6739.640640979633
3247.519157268107,6608.8566014310345
3964.5194701617584,6423.425216553733
4967.756217857823,6186.577110365033
5826.894681423437,6032.112648920156
5528.993076621555,5147.74915992748
5202.687759650871,4262.8677568165585
4931.334444426466,3492.3739852383733
4689.525231556036,2665.671022911556
4363.112559833098,1780.7879755971953
4120.785491506103,982.4497781693935
3823.505625058897,69.72419037483633
2681.638514227234,77.27475699502975
1652.3674354190007,171.89046195708215
764.7174793062732,325.83719613030553
-7.235035952180624,396.7719240579754
255.8510914328508,1620.7657187012956
572.4440150195733,3044.2427015397698
885.3112026001327,4666.159276594408
1312.4312663683668,6290.048706717789
