x_cm,y_cm
1658.7263072200585,6890.301222866401
2284.8924435616937,6797.049358510412
2853.2336610311177,6647.969342302531
3450.1698355714325,6498.514754534699
4160.423881781753,6290.878434479237
5154.928922082763,6022.931283223443
6008.1039382494055,5841.77123287227
5682.905300013954,4967.895096982829
5329.324111674214,4094.3909066030756
5034.20417245361,3333.4037194261327
4766.829856991535,2515.356060839258
4413.141694664955,1641.8533318676054
4146.138431748841,852.1492882631719
3820.6733708211686,-50.07170285098255
2680.540633498458,-6.782029918394983
1655.5818350985646,119.93349413387477
773.9157731935848,301.46846272982657
5.196408065967262,396.4781238231808
306.25792767386883,1610.6301735853776
667.00170620461,3022.328495234251
1030.2377238986082,4632.322640204802
1507.6389217108954,6240.7097896095365
