x_cm,y_cm
-160.97726702864747,-5291.158940573223
-160.97726702864747,-4986.358940578066
-160.97726702864747,-4681.558940582909
-160.97726702864747,-4376.758940587752
-160.97726702864747,-4071.9589405925944
-160.97726702864747,-3767.1589405974373
-160.97726702864747,-3462.35894060228
-160.97726702864747,-3157.558940607123
-160.97726702864747,-2852.758940611966
-160.97726702864747,-2547.958940616809
-160.97726702864747,-2243.1589406216517
-160.97726702864747,-1938.3589406264946
-160.97726702864747,-1633.5589406313375
-160.97726702864747,-1328.7589406361803
-39.05726702942047,-6510.358940553851
-39.05726702942047,-6205.558940558694
-39.05726702942047,-5900.758940563537
-39.05726702942047,-5595.95894056838
-39.05726702942047,-5291.158940573223
-39.05726702942047,-4986.358940578066
-39.05726702942047,-4681.558940582909
-39.05726702942047,-4376.758940587752
-39.05726702942047,-4071.9589405925944
-39.05726702942047,-3767.1589405974373
-39.05726702942047,-3462.35894060228
-39.05726702942047,-3157.558940607123
-39.05726702942047,-2852.758940611966
-39.05726702942047,-2547.958940616809
-39.05726702942047,-2243.1589406216517
-39.05726702942047,-1938.3589406264946
-39.05726702942047,-1633.5589406313375
-39.05726702942047,-1328.7589406361803
-39.05726702942047,-1023.9589406410232
-39.05726702942047,-719.1589406458661
82.86273296980653,-6510.358940553851
82.86273296980653,-6205.558940558694
82.86273296980653,-5900.758940563537
82.86273296980653,-5595.95894056838
82.86273296980653,-5291.158940573223
82.86273296980653,-4986.358940578066
82.86273296980653,-4681.558940582909
82.86273296980653,-4376.758940587752
82.86273296980653,-4071.9589405925944
82.86273296980653,-3767.1589405974373
82.86273296980653,-3462.35894060228
82.86273296980653,-3157.558940607123
82.86273296980653,-2852.758940611966
82.86273296980653,-2547.958940616809
82.86273296980653,-2243.1589406216517
82.86273296980653,-1938.3589406264946
82.86273296980653,-1633.5589406313375
82.86273296980653,-1328.7589406361803
82.86273296980653,-1023.9589406410232
82.86273296980653,-719.1589406458661
82.86273296980653,-414.358940650709
204.78273296903353,-6510.358940553851
204.78273296903353,-6205.558940558694
204.78273296903353,-5900.758940563537
204.78273296903353,-5595.95894056838
204.78273296903353,-5291.158940573223
204.78273296903353,-4986.358940578066
204.78273296903353,-4681.558940582909
204.78273296903353,-4376.758940587752
204.78273296903353,-4071.9589405925944
204.78273296903353,-3767.1589405974373
204.78273296903353,-3462.35894060228
204.78273296903353,-3157.558940607123
204.78273296903353,-2852.758940611966
204.78273296903353,-2547.958940616809
204.78273296903353,-2243.1589406216517
